Time_scraped,Gametime,Country,League,Unnamed: 4,Match,bookie_home,highest_odd_home,bookie_draw,highest_odd_draw,bookie_away,highest_odd_away,TotalBookies,average_odd_home,average_odd_draw,average_odd_away,std_home,std_draw,std_away,median_home,median_draw,median_away,url
2023-01-26 10:14:22.790492,2023-01-26 10:00:00,Azerbaijan,Premier League,,Shamakhi - Sabail,Curebet,3.19,GGBET,3.3,BetInAsia,2.56,27,2.8,3.06,2.4,0.1620013717363048,0.0992412919061637,0.0940201070051614,2.82,3.06,2.4,/soccer/azerbaijan/premier-league/shamakhi-sabail-vy1ord5O/
2023-01-26 10:14:26.490024,2023-01-26 11:00:00,India,I-League,,Aizawl - Mohammedan,10x10bet,2.95,1xBet,3.22,BetInAsia,2.6,29,2.75,3.11,2.44,0.0872611399182564,0.0929180785543666,0.0678566019664995,2.75,3.12,2.45,/soccer/india/i-league/aizawl-fc-mohammedan-QiNPRlW4/
2023-01-26 10:14:30.119915,2023-01-26 11:00:00,Iraq,Super League,,Al Naft - Al Sinaah,1xBet,1.8,1xBet,3.1,GGBET,5.4,8,1.75,3.02,4.82,0.0327633560552029,0.0616441400296898,0.2899973060219699,1.75,3.05,4.85,/soccer/iraq/super-league/al-naft-al-sinaa-2cvWsX7N/
2023-01-26 10:14:33.786969,2023-01-26 11:30:00,Indonesia,Liga 1,,Persib Bandung - Borneo,William Hill,1.95,Curebet,3.7,Curebet,5.5,25,1.7,3.41,4.45,0.0757194823014526,0.1521294185882533,0.3888292170092159,1.7,3.45,4.5,/soccer/indonesia/liga-1/persib-bandung-borneo-xvLbQyar/
2023-01-26 10:14:37.492158,2023-01-26 11:30:00,Iran,Persian Gulf Pro League,,Esteghlal F.C. - Malavan,10x10bet,2.18,NordicBet,3.4,10x10bet,6.2,28,2.02,2.5,4.96,0.1146022402459383,0.3045545006686833,0.6706875660279455,2.01,2.575,4.875,/soccer/iran/persian-gulf-pro-league/esteghlal-teh-malavan-hOxbzi1e/
2023-01-26 10:14:41.281825,2023-01-26 12:00:00,Albania,Superliga,,Egnatia - Kukesi,Dafabet,1.97,1xBet,3.08,Marsbet,4.5,14,1.95,2.95,4.06,0.0143747227124986,0.0980420567815628,0.1997447350587081,1.95,3.0,4.0,/soccer/albania/superliga/kf-egnatia-kukesi-Ot2EAWcO/
2023-01-26 10:14:45.044146,2023-01-26 12:00:00,Argentina,Reserve League,,River Plate 2 - Central Cordoba 2,10x10bet,1.99,Unibet,3.4,Unibet,4.45,20,1.85,3.24,3.89,0.0684762732630799,0.0821751178885676,0.1797908507127101,1.88,3.275,3.82,/soccer/argentina/reserve-league/river-plate-central-cordoba-santiago-del-estero-vNgyLO9E/
2023-01-26 10:14:48.794542,2023-01-26 12:00:00,Argentina,Reserve League,,Newells Old Boys 2 - Platense 2,10x10bet,2.2,10x10bet,3.2,10x10bet,3.6,21,2.1,3.07,3.33,0.0483374382493315,0.0895972343272546,0.1469524118137177,2.1,3.1,3.4,/soccer/argentina/reserve-league/newells-old-boys-platense-YqguKrPK/
2023-01-26 10:14:52.659225,2023-01-26 12:00:00,Kenya,Premier League,,Gor Mahia - Talanta FC,Marsbet,1.52,10x10bet,4.3,10x10bet,6.7,22,1.47,3.93,5.95,0.0266946306545927,0.1618749900283987,0.4252757977268768,1.47,3.95,6.025,/soccer/kenya/premier-league/mahia-talanta-fc-bDgUhXso/
2023-01-26 10:14:56.557044,2023-01-26 12:00:00,World,Club Friendly,,Young Boys (Sui) - Flora (Est) ,Curebet,1.22,Unibet,9.5,Betfair,14.0,22,1.16,7.02,10.87,0.0339329674651618,0.7387364967092447,1.3258227603022728,1.17,6.8,10.75,/soccer/world/club-friendly/young-boys-flora-x4foc38n/
